date,cust_email,cust_location,product_id,product_quantity
2022-01-01,pral@msn.com,93634,BJ02R0G72U8V,1
2022-01-01,pral@msn.com,93634,7B4VYMBRQNAR,2
2022-01-01,drey@outlook.com,74745,QFU31E6OUJLT,1
2022-01-01,drey@outlook.com,74745,8XHWEV0FCNPJ,1
2022-01-01,shou@live.com,46968,W43JTI9H45RU,1
2022-01-01,shou@live.com,46968,YC8HLGNTQKTB,2
2022-01-01,py@yahoo.com,46220,L2FYKJB3OQTA,1
2022-01-01,ru@outlook.com,46466,PC2GX75DR98P,1
2022-01-01,frie@gmail.com,06289,48F7V8PPMFA3,1
2022-01-01,frie@gmail.com,06289,DUSQ36QMKSH7,1
2022-01-01,frie@gmail.com,06289,TJ9XZFC5MPX1,2
2022-01-01,skub@aol.com,21803,3YXEO29R6ICZ,2
2022-01-01,skub@aol.com,21803,YE3X9RXEMRFN,1
2022-01-01,skub@aol.com,21803,DM92QWJ41AJF,2
2022-01-01,drog@yahoo.com,57456,DS1CE8BD6G3D,3
2022-01-01,drog@yahoo.com,57456,YVP1WMGWZP8C,1
2022-01-01,drog@yahoo.com,57456,YGCPX1Q0Q5D5,1
2022-01-01,bri@icloud.com,05375,1O65N9MNX1RG,2
2022-01-01,bri@icloud.com,05375,6XB7SULORRVD,1
2022-01-01,bri@icloud.com,05375,32T08WZ5MPIG,2
2022-01-01,trauv@hotmail.com,92855,EG0YO2429NYA,2
2022-01-01,trauv@hotmail.com,92855,5712JPK2B2OF,1
2022-01-01,trauv@hotmail.com,92855,5Q7RXRUQTW9K,1
2022-01-01,trauv@hotmail.com,92855,865JACI3H2J6,1
2022-01-01,fluss@gmail.com,54929,WX21E6APE15T,1
2022-01-01,sliend@yahoo.com,69342,I6GMNMV5OWXO,2
2022-01-01,sliend@yahoo.com,69342,ZYC8Y47XTROG,1
2022-01-01,jy@yahoo.com,43663,ODRBRV3I9P49,2
2022-01-01,jy@yahoo.com,43663,5LATHXD0BOYK,3
2022-01-01,jy@yahoo.com,43663,K2P0OFTBZFGY,1
2022-01-01,skia@outlook.com,75908,NXBJ50CHT3SA,1
2022-01-01,skia@outlook.com,75908,8UUOCHXZUUIH,2
2022-01-01,skia@outlook.com,75908,GG9IAMZ82DH3,1
2022-01-01,skia@outlook.com,75908,FUVPJ89X5EPA,2
2022-01-01,boch@gmail.com,98487,1JIX4IJ9IOYK,1
2022-01-01,kio@inbox.com,39409,E43BXRZFTG6B,1
2022-01-01,grisk@yahoo.com,54862,AK9KPREG0YNC,1
2022-01-01,grisk@yahoo.com,54862,3HLEG8WWWRHH,1
2022-01-01,grisk@yahoo.com,54862,65OY8U7IFC0U,4
2022-01-02,proi@aol.com,88455,4MONHE25902I,1
2022-01-02,sou@gmail.com,83352,07JS7IFX7IRT,1
2022-01-02,fle@yahoo.com,21546,1SMN9ZL6XH07,3
2022-01-02,smist@hotmail.com,89877,IQU8ZNVG805B,1
2022-01-02,smist@hotmail.com,89877,XADFDISS27L3,5
2022-01-02,hoep@mail.com,57643,Z4345Q6F93DV,1
2022-01-02,crych@mail.com,27197,GEYU61KE8W2J,1
2022-01-02,crych@mail.com,27197,AVTQECKK1ZB6,2
2022-01-02,crych@mail.com,27197,F4ZT2FVSTBG5,2
2022-01-02,crych@mail.com,27197,HG1CTR55C5IG,1
2022-01-02,crych@mail.com,27197,CWJ007NHUCI7,3
2022-01-02,fu@mail.com,17710,W9TDMBOKIHI4,1
2022-01-02,glip@gmail.com,75250,BTXAQ7QWVAWP,1
2022-01-02,glip@gmail.com,75250,7DODIVFEVHUL,1
2022-01-02,glip@gmail.com,75250,B8E7SN97OWVH,2
2022-01-02,tosk@outlook.com,95659,Z616IER6DAGK,2
2022-01-02,tosk@outlook.com,95659,NRQXZPHRSN3X,2
2022-01-02,yy@msn.com,33477,5EQC7K0BIT8T,3
2022-01-02,losp@live.com,51893,BB9M5IPWVFKZ,3
2022-01-02,losp@live.com,51893,W7HAQ61YY7O6,3
2022-01-02,losp@live.com,51893,ZMXMU0TMUT96,1
2022-01-02,cliug@outlook.com,29052,GKW5LNUEBBQY,3
2022-01-02,cliug@outlook.com,29052,R1LZJZPG47F4,2
2022-01-02,cliug@outlook.com,29052,YMWXH0XYX63F,1
2022-01-02,niuw@live.com,18108,M3H457MY55LB,1
2022-01-02,niuw@live.com,18108,YUV8TEIDIXFI,2
2022-01-02,niuw@live.com,18108,NYCDF1PER4XQ,1
2022-01-02,niuw@live.com,18108,88BBX5Z5J0MO,1
2022-01-02,sto@msn.com,69059,RJD65UPTRRWN,1
2022-01-02,pek@gmail.com,26486,IJB5KIROD6ST,1
2022-01-02,pek@gmail.com,26486,15UO5P1LVIWL,2
2022-01-02,pek@gmail.com,26486,ONC4A3FCXZJ9,1
2022-01-02,pek@gmail.com,26486,CZT9TATWRK3F,2
2022-01-02,glaa@gmail.com,44656,N2AC0BXX76QU,2
2022-01-02,glaa@gmail.com,44656,6POEJZZITZWY,3
2022-01-02,lauss@outlook.com,66664,TBV6WCEYVKKY,3
2022-01-02,lauss@outlook.com,66664,DADAAFTIFHCO,1
2022-01-02,lauss@outlook.com,66664,OOY5WIPEO8SZ,1
2022-01-03,gliuv@live.com,13475,W4PR4OAKY0U1,1
2022-01-03,yef@gmail.com,47390,8UFZ4LOUEKVS,1
2022-01-03,yef@gmail.com,47390,QFFHSEG1TMTY,3
2022-01-03,yef@gmail.com,47390,ZFAIB29Z6VV4,1
2022-01-03,yef@gmail.com,47390,H3ZWZOV5R34J,1
2022-01-03,yef@gmail.com,47390,5AKIC53P2FNH,1
2022-01-03,yew@hotmail.com,14705,UD292TEGSKLW,2
2022-01-03,yew@hotmail.com,14705,RQTW3ADBCLA2,1
2022-01-03,yew@hotmail.com,14705,6N96NLP8V8C6,3
2022-01-03,fruit@gmail.com,32003,8A7C7151KRZL,1
2022-01-03,fruit@gmail.com,32003,UNW2HGWFZW0K,3
2022-01-03,fruit@gmail.com,32003,DVFQWLKBBBVT,2
2022-01-03,fruit@gmail.com,32003,BAS7EAU3OSZJ,1
2022-01-03,fruit@gmail.com,32003,A90554PWYUJK,2
2022-01-03,brep@hotmail.com,61543,XC6AM6NLE514,2
2022-01-03,gai@gmail.com,83337,BGAJHAR5XIYX,1
2022-01-03,swial@inbox.com,44089,H5UM2ER7O9YU,1
2022-01-03,swial@inbox.com,44089,WPRBK3ZERJ9G,1
2022-01-03,ko@icloud.com,07200,DGO7CRRPG4EL,2
2022-01-03,ko@icloud.com,07200,49I0RH2T3HEJ,1
2022-01-03,ko@icloud.com,07200,E1SOS9DOGADQ,1
2022-01-03,ko@icloud.com,07200,SYE1ADR11OW1,3
2022-01-03,ko@icloud.com,07200,BLBCS0ATYXKH,1
2022-01-03,grio@hotmail.com,54929,4HKTMZQ59WDT,1
2022-01-03,grio@hotmail.com,54929,KYCZ4QKMIN5W,1
2022-01-03,vai@outlook.com,62213,TRSP3TXIKMB8,2
2022-01-03,flosp@yahoo.com,66098,0A26DJ8FAZZ6,1
2022-01-03,gleaz@hotmail.com,16426,3DYGD7XFFVU7,2
2022-01-03,cliu@msn.com,53272,78XGOZDZB98U,2
2022-01-03,cliu@msn.com,53272,GSCWJ49WDZWM,2
2022-01-03,bri@live.com,44984,IJKMB15MTCVG,1
2022-01-03,bri@live.com,44984,YN11IDGDV8F2,2
2022-01-03,bri@live.com,44984,G8AI0XNP5N65,2
2022-01-03,clua@gmail.com,46007,J2JUF6HPPP37,1
2022-01-03,clua@gmail.com,46007,WI41V3XLSKSX,3
2022-01-03,clua@gmail.com,46007,9RUHD3MNYOU2,1
2022-01-03,lid@gmail.com,58005,2E6M08CZ4LUW,1
2022-01-03,lid@gmail.com,58005,RJHFUYAA5Z43,1
2022-01-04,pe@msn.com,44089,GVLYTCRIPRPC,2
2022-01-04,crio@live.com,73691,X2K8W8MFBK2F,2
2022-01-04,faof@inbox.com,13101,ZJUOAUZ9FDZN,2
2022-01-04,blymp@gmail.com,90829,FVT7FHQM0W7V,2
2022-01-04,drosk@inbox.com,83274,MN2Y89DC0409,2
2022-01-04,stroen@mail.com,41393,QH7Z3U8BOZX5,1
2022-01-04,stroen@mail.com,41393,LL7RAL4X3XM6,3
2022-01-04,praod@inbox.com,45779,FT3BZPTVMX4K,2
2022-01-04,floa@yahoo.com,77788,QR912YQXBPDW,1
2022-01-04,floa@yahoo.com,77788,47LF3J8QL9OF,2
2022-01-04,floa@yahoo.com,77788,YB5ZVE14XCNR,1
2022-01-04,fuit@gmail.com,65773,199I133GCHU3,1
2022-01-04,cro@msn.com,87069,EZMWT35DD6UH,2
2022-01-04,ga@yahoo.com,48467,6LO649BNTH7A,1
2022-01-04,joi@gmail.com,76649,PMA7PLOM8IWB,2
2022-01-04,mosp@msn.com,95362,6YFHU0T5ETJM,1
2022-01-04,mosp@msn.com,95362,PZP606A2FOX7,2
2022-01-04,heo@hotmail.com,26213,M62JGWG4TK6O,1
2022-01-04,heo@hotmail.com,26213,2AWWL85UH0H2,2
2022-01-04,wuod@inbox.com,16023,IWQ5MI71SQZ3,1
2022-01-04,wuod@inbox.com,16023,P138UPD4FE2Y,1
2022-01-04,by@msn.com,14325,7HYNC5YX8X5N,1
2022-01-04,praz@aol.com,13512,M4FS2S0PGUZ4,3
2022-01-04,praz@aol.com,13512,PZMMMXH8PBP7,1
2022-01-05,fryp@inbox.com,16294,M02ZML4ECQLM,1
2022-01-05,goent@live.com,32003,LIKZLI73FEUW,1
2022-01-05,goent@live.com,32003,UZC0CV08T430,1
2022-01-05,skief@aol.com,41393,O06R798LYYSC,2
2022-01-05,clyb@hotmail.com,34489,8M1WNU6SBZV8,2
2022-01-05,pai@outlook.com,64828,UBBMGGDA7M19,3
2022-01-05,pai@outlook.com,64828,B8ENO4CT2VH5,2
2022-01-05,treund@gmail.com,44011,TX3IRYJR0TQD,1
2022-01-05,treund@gmail.com,44011,VEB7F9OQKWET,2
2022-01-05,treund@gmail.com,44011,IHSO5SLZQR0B,3
2022-01-05,swag@yahoo.com,94514,MG6J3IDE50PJ,1
2022-01-05,jask@yahoo.com,44011,ANG9XUYLC5UP,1
2022-01-05,jask@yahoo.com,44011,KV3J0WYDE87L,1
2022-01-05,by@inbox.com,18521,KY5VOREXVFPA,3
2022-01-05,by@inbox.com,18521,80T14Z374N3W,1
2022-01-05,by@inbox.com,18521,QYWP5LR091G9,1
2022-01-05,by@inbox.com,18521,VEYL2G20R56C,1
2022-01-05,by@inbox.com,18521,T3Z454YRK9SP,1
2022-01-05,by@inbox.com,18521,7JQH3UMXSIXQ,3
2022-01-05,kyr@gmail.com,18755,ORNHQ3BMBRNI,1
2022-01-05,brusk@gmail.com,88039,E6BQM6T92QX7,1
2022-01-05,brusk@gmail.com,88039,7QJ255KOZ14M,1
2022-01-05,grop@yahoo.com,46968,HEX5M7OI6YP8,6
2022-01-05,grop@yahoo.com,46968,9UWJELHFX82P,1
2022-01-05,shig@hotmail.com,45047,1VRKLS6D67IJ,2
2022-01-05,bleew@hotmail.com,71977,3S415DIZ10RL,2
2022-01-05,bleew@hotmail.com,71977,50I8BW1OYX12,1
2022-01-05,hyp@msn.com,24904,XKZPOO9WFFRU,4
2022-01-06,nuh@yahoo.com,15749,JVTVSRQNT7EP,2
2022-01-06,nuh@yahoo.com,15749,43QXCFI07ZGQ,1
2022-01-06,sloenk@aol.com,18360,6MH5UEZYQAJL,2
2022-01-06,sloenk@aol.com,18360,W9TDMBOKIHI4,3
2022-01-06,strast@aol.com,90208,8E6IZDT86HCT,1
2022-01-06,stoeng@aol.com,96892,3WPW1JIZJ8RU,1
2022-01-06,stoeng@aol.com,96892,XU0VCEWL8OP3,1
2022-01-06,stoeng@aol.com,96892,S5P25EPZK15L,3
2022-01-06,stoeng@aol.com,96892,WGYO7YZ8AV3T,4
2022-01-06,brait@yahoo.com,66287,K605C13K6VY2,1
2022-01-06,brait@yahoo.com,66287,VNPDRCSI0GXX,1
2022-01-06,brait@yahoo.com,66287,G3J9WPOPP9W6,2
2022-01-06,fou@yahoo.com,99189,Q9SQOOZD535L,4
2022-01-06,fou@yahoo.com,99189,Y344EKF45PL0,2
2022-01-06,fou@yahoo.com,99189,BZ7B39DPJ7EL,2
